"","x"
"SELENOM",1.518355793289
"HMOX1",-2.0155642015457
"MB",-2.81527331868594
"LGALS1",2.34099693647074
"TRIOBP",1.02418838725626
"FAM83F",-1.20213000161895
"BIK",-1.07283643154343
"TSPO",1.27796209722938
"FBLN1",1.30019953189532
"CIMAP1B",1.28626799201767
"MXRA5",2.43222938478637
"ANOS1",-1.02421990790474
"EGFL6",4.85320675954202
"PIR",-2.10603327317351
"SMPX",-2.21635120971398
"PTCHD1",-1.22700710031128
"PDK3",-1.07086673113541
"TSPAN7",-1.38302495657041
"RBM3",1.24229178880211
"PPP1R3F",-1.15175624663024
"PCDH19",1.31783833997896
"SRPX2",1.49344076258971
"MORC4",1.50655486575
"NUP62CL",-1.04223063901577
"CAPN6",1.09089266916693
"HS6ST2",1.01066522063017
"GPC3",1.07628864756838
"MIR503HG",2.62860001321877
"PLAC1",2.3363993582536
"SPANXB1",-2.01960934495045
"DUSP9",-1.06286978984949
"SLC10A3",1.01329155634014
"NLGN4Y",1.1170726862311
"HLA-A_6",-1.05317906963736
"TRNY",1.67401463362113
"ATP8",1.14250308353875
"TRNH",1.54167228836064
"TRNS2",1.87563842958371
