"","x"
"RAB32",-1.33403552517856
"UST",-1.01188941208332
"PPP1R14C",1.12007008305841
"CNKSR3",-2.47522514094739
"LOC105378127",1.13268079784988
"SMOC2",-1.22499240544625
"PDGFA-DT",1.84819553631107
"CYP2W1",-3.44427364873361
"GPER1",-1.3439598450122
"UNCX",1.89404488662675
"KDELR2",-1.01456934736429
"THSD7A",2.91128691410898
"ETV1",2.83783488840451
"HDAC9",1.60423325376042
"SP8",1.64664614988907
"SP4",1.30622900605495
"CDCA7L",2.56959186767751
"RAPGEF5",2.02682339029274
"NPY",-2.91156546248609
"HOTAIRM1",-3.09312908108507
"HOXA3",-3.82859718007993
"PRR15",-1.24944868856478
"FKBP14",-1.62255687703961
"INMT",-1.72212724546654
"AQP1",-1.6817700579463
"LINC03013",1.11355776741261
"ANLN",1.13706866655815
"MYL7",1.18766164098579
"IGFBP3",-1.27024290563373
"UPP1",-1.31266232929688
"DDC",1.27239455641047
"COBL",1.33876924523068
"TPST1",-1.07326264447783
"ELAPOR2",1.65811766578229
"STEAP1",1.50256565320366
"FZD1",1.04731565279466
"CDK6-AS1",1.98068257910654
"TFPI2",2.05409203858917
"COL1A2",-2.00780662756135
"PEG10",-1.28256928178078
"GPC2",2.07470918256119
"SERPINE1",-1.8303877112183
"ORAI2",-1.00009021443275
"PRKAR2B",1.42267435577828
"LRRN3",-4.58953645859637
"CAV2",-1.16677691647384
"CAV1",-3.27549560485025
"LOC100506664",1.07522576447243
"GRM8",2.19149096906077
"IMPDH1",-1.50318192386355
"AHCYL2",1.0283768114664
"AKR1B10",1.44388248895375
"PTN",-1.04076621671269
"DGKI",1.5821967353634
"AKR1D1",1.36152042998627
"ZYX",-1.64785284766608
"LRRC61",-1.06763534553756
"GIMAP4",1.78497019649075
"TMEM176B",-2.25995307631975
"TMEM176A",-2.01570910148828
"CHPF2",-1.80028256256228
"ZNF596",1.18535928735729
"PRAG1",-1.57022459646782
"GATA4",1.38330654970107
"TRMT9B",1.19762667092225
"MTUS1",1.15245971030521
"PSD3",1.16231516157776
"LZTS1",-1.10498340513104
"BMP1",-1.45533834993049
"NKX2-6",2.82500634329506
"LOC101929258",3.11023144813197
"CDCA2",1.43528727530982
"PTK2B",-2.303163858188
"CLU",-1.68232863599384
"SCARA3",-1.3834998374709
"DUSP4",1.934095091656
"UNC5D",-1.54662207248013
"LINC01605",-2.67524219571021
"ZNF703",-1.57641688675901
"ADRB3",-2.04246269434191
"STAR",1.04341813288438
"ADAM3A",-2.72260593981012
"PLAT",-2.89041279254455
"CEBPD",-1.52005890088764
"PENK",-4.84582237395355
"NKAIN3",-3.5550338648003
"TRIM55",2.50414135648239
"JPH1",-1.52159727957113
"ZFHX4-AS1",-1.43763372332419
"ZFHX4",-1.9163516543197
"STMN2",-4.84741957812791
"CA3",-2.98635890438086
"MMP16",-2.02010221139071
"PIP4P2",1.16082931962866
"MATN2",-1.39907989418622
"BAALC",2.13388776459427
"RIMS2",-4.10892684701277
"DPYS",2.14341804788932
"ABRA",3.48261486268631
"ANGPT1",-1.25063527194095
"RSPO2",-3.81745766033436
"KCNV1",1.24717093367602
"ATAD2",1.47743923933123
"FBXO32",1.53469880164729
"MTSS1",1.51105623406667
"CCN4",-1.42689561928923
"KANK1",1.15845131545701
"BNC2",-2.33073653127676
"MLLT3",1.78552122453856
"CDKN2B",-3.02727984711511
"TEK",-1.81089729014384
"AQP3",-1.04583775685263
"ENHO",1.87416861521092
"FRMPD1",-2.04511900342085
"ENTREP1",2.72882095436072
"ALDH1A1",2.42238787282028
"ANXA1",-1.92286096171175
"PCSK5",-1.65252908313234
"GCNT1",-2.11376922139745
"PSAT1",1.09018024641686
"FRMD3",2.23747810487662
"GAS1",-2.87120372484673
"DAPK1",-1.2370252806726
"CTSL",-1.09379189445031
"S1PR3",-1.12148631678294
"WNK2",2.21147911714137
"CTSV",1.60102607491826
"TMOD1",2.8304382865627
"COL15A1",-4.8525525529862
